particionamento,tamanho,recursoes,trocas,tempo
ALEATORIO-LOMUTO,100,64,395,0.01
ALEATORIO-LOMUTO,1000,681,5421,0.1126
ALEATORIO-LOMUTO,10000,6814,81789,1.4691
ALEATORIO-LOMUTO,100000,74521,1209585,20.266
ALEATORIO-LOMUTO,1000000,967232,12396695,233.535
ALEATORIO-HOARE,100,99,269,0.011
ALEATORIO-HOARE,1000,999,3498,0.1248
ALEATORIO-HOARE,10000,9999,42832,1.4903
ALEATORIO-HOARE,100000,99999,523757,17.1472
ALEATORIO-HOARE,1000000,999999,6810008,184.068
MEDIANA3-LOMUTO,100,63,410,0.0082
MEDIANA3-LOMUTO,1000,628,5787,0.108
MEDIANA3-LOMUTO,10000,6236,79678,1.3456
MEDIANA3-LOMUTO,100000,72998,964248,18.175
MEDIANA3-LOMUTO,1000000,967232,10019644,200.354
MEDIANA3-HOARE,100,99,307,0.0108
MEDIANA3-HOARE,1000,999,4020,0.1195
MEDIANA3-HOARE,10000,9999,46835,1.3792
MEDIANA3-HOARE,100000,99999,555384,20.8624
MEDIANA3-HOARE,1000000,999999,6655762,169.455
